WellIndex,Por,LogPerm,AI,Brittle,TOC,VR,Production
872,14.85,1.61,3.63,44.93,0.72,2.05,2629.226816
873,16.62,1.53,2.31,31.41,1.10,1.54,1672.500696
874,17.85,1.76,2.96,59.16,0.48,1.74,3488.654583
875,18.73,2.01,2.88,53.39,1.42,2.14,5029.047552
876,17.20,1.85,2.26,48.84,1.47,1.90,4131.95598
877,10.49,0.48,3.77,52.31,0.46,2.37,1403.229919
878,13.53,1.51,2.31,67.51,0.80,1.67,1148.659784
879,18.04,1.36,2.47,57.53,1.15,2.01,3953.126607
880,14.97,1.01,2.87,54.85,1.17,2.20,2728.432245
881,16.18,1.39,3.04,41.40,1.22,2.01,2934.090489
882,15.07,1.22,3.39,56.70,0.38,1.88,2504.126182
883,13.69,1.35,3.51,69.53,0.60,2.04,972.9957386
884,10.15,0.54,2.97,40.51,0.59,1.76,1114.45748
885,13.45,0.92,3.25,58.30,1.04,2.33,1954.785696
886,15.94,1.34,3.81,37.13,1.36,2.43,2317.315601
887,14.88,1.57,3.30,63.31,0.95,2.03,1896.132878
888,11.12,0.63,3.09,58.97,0.52,1.85,1304.752863
889,13.50,0.98,3.94,36.68,1.17,2.60,1552.865491
890,13.72,1.39,3.41,40.24,0.84,2.18,1911.658757
891,7.38,0.63,2.54,42.24,0.38,1.28,793.9068762
892,20.21,2.12,2.50,23.78,1.47,1.82,1334.070277
893,10.69,0.98,3.49,84.33,0.39,1.97,99.83486495
894,15.75,1.28,2.82,70.68,0.95,2.04,1200.970398
895,17.96,1.45,2.87,49.41,0.92,2.01,4388.297229
896,16.95,1.42,2.30,61.43,1.47,2.05,2931.474727
897,19.73,2.06,2.63,49.91,1.59,2.11,6031.878091
898,11.91,1.50,2.27,47.38,0.84,1.57,1814.325935
899,15.53,1.69,2.64,64.49,1.55,2.10,2021.05513
900,14.44,1.07,2.34,68.76,0.98,1.97,1179.69975
901,13.37,1.54,3.04,52.23,0.86,1.72,2247.460706
902,10.50,1.17,3.69,61.09,0.45,2.17,1095.672507
903,18.90,1.52,2.65,18.63,1.06,1.54,536.3979869
904,17.89,1.44,1.86,34.13,1.75,1.62,2593.317461
905,15.32,1.31,3.29,55.99,1.35,2.42,2849.555535
906,13.48,0.96,2.93,55.30,0.50,1.70,2079.097093
907,17.17,1.34,2.35,38.08,1.43,1.97,2930.73659
908,20.86,1.84,2.53,40.57,2.08,2.43,5953.509396
909,15.19,1.62,3.11,57.97,1.15,2.16,2609.063195
910,14.95,1.19,2.69,75.73,0.58,1.80,608.5049452
911,12.10,1.63,3.97,63.24,0.38,1.93,1231.648572
912,18.24,1.46,2.85,44.53,1.39,2.06,4412.783711
913,19.86,1.92,2.77,45.44,1.33,2.08,5730.401418
914,19.54,1.78,3.23,37.40,0.82,1.80,3838.755438
915,18.37,1.60,2.45,42.26,1.40,2.06,4222.117262
916,12.89,1.45,4.09,66.21,0.81,2.77,1158.146044
917,15.20,1.25,3.20,42.63,1.52,2.23,2713.041014
918,12.23,0.87,3.02,40.67,1.02,1.84,1571.246492
919,17.88,1.72,3.20,49.61,1.23,2.37,4471.658237
920,15.79,1.44,3.01,63.24,0.48,2.07,2089.208282
921,12.38,0.91,2.63,33.48,1.17,1.73,1062.835861
922,18.98,2.28,2.69,46.40,1.11,1.67,5114.831505
923,13.76,1.35,3.46,52.36,0.50,1.89,2302.666403
924,23.55,2.11,1.28,14.24,2.18,1.24,585.5575108
925,14.86,1.36,2.64,60.50,1.33,1.95,2250.595712
926,16.43,1.79,2.62,35.50,1.13,1.72,2237.994441
927,15.86,1.08,2.74,51.49,1.62,2.15,3365.008352
928,12.98,1.66,3.25,60.51,0.93,1.98,1686.087807
929,17.21,1.53,2.79,20.12,1.52,1.93,536.3312909
930,15.34,1.12,2.11,50.65,1.17,1.71,3042.027066
931,17.57,1.49,2.30,44.57,1.46,1.98,4038.091299
932,10.74,0.54,3.33,62.94,0.31,1.89,995.2862778
933,18.79,1.50,3.57,35.74,0.93,2.30,3113.096098
934,12.83,0.99,3.67,17.20,0.61,2.01,174.1636823
935,15.35,1.54,3.07,26.63,1.53,2.05,908.441964
936,14.88,1.64,3.47,51.29,0.38,1.77,2725.627772
937,14.69,1.29,2.39,62.93,1.04,1.93,1883.85096
938,7.77,0.39,2.80,40.24,0.37,1.43,768.4888126
939,15.87,1.92,3.20,32.82,0.58,1.64,1642.147875
940,18.75,1.64,1.45,58.05,1.37,1.55,4400.552244
941,15.63,1.54,2.85,40.83,0.84,1.70,2587.320835
942,18.06,2.08,2.60,56.29,1.64,2.18,4361.597078
943,12.05,0.86,3.21,42.36,0.50,1.77,1576.647972
944,14.44,1.51,2.81,65.32,1.16,1.93,1583.322847
945,16.69,1.62,3.44,36.22,1.48,2.52,2482.954015
946,15.80,1.00,3.29,42.13,0.43,1.97,2668.11441
947,16.84,1.63,3.16,60.43,1.60,2.60,3079.128701
948,13.46,1.52,3.04,56.59,0.10,1.53,1975.398611
949,14.63,1.96,3.02,21.47,1.26,1.79,441.3944238
950,12.20,1.07,3.36,28.87,0.82,1.69,681.7715215
951,10.50,0.94,3.11,54.54,0.45,1.82,1375.952266
952,18.68,1.82,2.50,43.35,1.66,1.87,4688.543288
953,16.88,1.89,2.45,65.82,0.63,1.50,2107.131598
954,15.42,1.40,2.80,18.98,1.50,1.93,352.6590755
955,13.01,1.28,2.38,50.41,0.48,1.55,2088.65047
956,17.92,1.68,2.30,57.84,1.33,1.92,3931.429401
957,15.97,1.16,2.63,52.55,1.41,2.09,3341.46207
958,13.32,1.16,2.45,57.86,1.05,1.74,1966.128608
959,18.10,2.26,3.34,56.09,1.02,2.15,4238.076628
960,16.21,1.39,2.77,59.83,1.21,2.32,2794.051735
961,18.00,1.72,1.71,28.46,1.74,1.49,1633.18461
962,17.86,1.94,2.50,26.22,0.28,0.93,1152.333122
963,11.60,0.55,2.18,53.54,0.60,1.50,1638.342799
964,17.98,1.45,2.94,25.17,0.90,1.86,1074.790902
965,16.61,1.25,1.83,60.13,1.54,1.86,2974.180021
966,19.06,2.25,3.20,55.53,1.57,2.39,5132.133582
967,12.83,1.27,3.15,29.87,1.09,2.09,841.7096278
968,18.96,1.76,2.17,29.28,1.58,1.95,2009.483936
969,11.71,0.63,4.01,44.03,0.04,1.84,1520.192211
970,11.91,1.69,3.83,28.94,0.38,1.78,650.1988476
971,17.44,1.74,3.44,57.33,1.33,2.38,3742.09038
972,10.95,0.80,3.67,47.06,0.12,1.93,1466.627778
973,12.94,0.97,2.88,38.29,1.25,1.94,1581.271103
974,15.72,1.33,2.51,35.09,1.42,1.95,1982.058606
975,14.02,1.50,3.01,62.59,1.04,2.16,1757.675482
976,14.49,1.58,3.00,22.54,1.08,1.99,484.5175293
977,11.80,1.07,3.64,35.35,0.35,1.76,1059.672113
978,19.29,1.61,2.82,58.56,1.23,1.97,4609.512101
979,7.22,0.35,3.60,63.09,-0.03,1.67,579.6243701
980,15.70,1.10,3.41,46.86,0.14,1.93,2907.919597
981,14.48,1.34,3.56,47.44,0.67,2.11,2576.102155
982,9.88,1.00,3.64,55.19,0.52,2.16,1248.129938
983,18.80,1.80,3.23,74.07,1.66,2.54,1401.211709
984,18.07,1.33,2.89,28.67,1.52,2.10,1640.769905
985,15.68,1.68,3.77,57.85,0.72,2.35,2733.704192
986,15.28,1.25,2.29,34.78,1.28,1.61,1798.975721
987,10.88,1.20,4.09,55.09,0.81,2.40,1482.876885
988,16.14,1.62,3.16,38.03,0.97,2.05,2460.098447
989,16.12,1.41,2.42,35.84,1.48,1.84,2219.56275
990,13.52,1.35,3.45,31.57,1.51,2.22,1113.605137
991,6.55,0.12,4.13,56.69,0.28,2.10,714.453061
992,20.37,1.90,2.37,37.76,1.40,1.99,4612.097972
993,12.92,1.36,3.68,71.40,0.11,1.91,705.6635532
994,17.13,1.79,2.88,51.45,1.77,2.28,4165.407602
995,11.95,1.14,2.97,67.18,0.80,2.06,931.610877
996,17.99,2.29,3.38,44.32,0.98,2.08,4211.527806
997,12.12,0.82,3.52,57.07,-0.04,1.73,1560.333735
998,15.55,1.50,2.48,58.25,1.89,2.35,2858.180459
999,20.89,2.02,3.23,46.17,1.71,2.27,6934.576348
1000,15.74,1.31,2.37,73.08,1.24,2.06,963.6757931
