Sample,Por,LogPerm,AI,Brittle,TOC,VR,Production,Prod2Scaled
735,13.08,1.31,3.39,69.33,0.98,2.63,930.6035163,1930.942474
736,16.86,1.48,2.58,37.37,1.53,2.11,2723.947629,3935.051593
737,14.13,1.55,3.21,42.15,0.87,1.94,2206.5948,3058.072704
738,14.04,1.35,3.50,66.86,0.61,2.13,1276.287562,2359.106209
739,11.87,1.30,2.97,57.43,0.33,1.79,1547.76815,2161.194018
740,14.58,1.26,3.10,36.59,0.54,1.95,1739.723208,2798.649221
741,12.24,0.75,2.24,86.80,0.96,1.74,86.33067385,1159.513213
742,15.97,1.66,2.89,43.48,0.91,1.82,3013.289035,3984.844289
743,16.89,1.44,2.56,54.08,1.51,2.10,3783.041918,4716.78194
744,9.92,0.87,3.77,63.40,0.55,2.14,884.3285448,1318.801174
745,17.56,1.84,2.48,44.52,1.54,2.14,4094.78335,5067.970811
746,15.44,1.48,2.82,67.01,0.61,1.79,1546.955653,2813.645253
747,16.36,1.50,2.41,34.11,1.41,1.85,2035.24501,3340.529603
748,12.04,1.25,3.29,41.66,0.60,1.75,1562.800808,2203.178069
749,15.32,1.36,2.95,58.66,1.18,2.17,2577.297297,3546.849027
750,11.55,1.18,3.18,51.68,0.24,1.85,1650.452703,2178.198814
751,12.89,0.95,2.83,70.55,0.78,2.03,791.0599209,1793.907527
752,12.96,0.97,3.85,77.47,0.90,2.65,376.9012593,1503.135369
753,12.01,0.91,2.45,69.54,0.79,1.78,765.4898682,1614.489106
754,23.22,1.94,2.17,29.74,2.01,2.17,3989.813126,6025.263157
755,16.82,1.18,2.06,28.32,1.76,1.93,1342.716554,2917.952825
756,17.70,1.90,3.24,44.06,1.56,2.32,4134.852245,5121.342569
757,10.13,1.05,4.00,59.83,0.46,2.27,1099.803466,1514.868606
758,13.43,0.97,3.11,58.95,1.37,2.26,1948.989713,2740.228582
759,15.22,1.36,3.30,49.75,1.21,2.32,3022.746528,3854.563527
760,16.20,1.87,3.34,55.97,1.20,2.25,3250.859587,4200.70307
761,14.64,1.12,2.81,66.78,1.32,2.19,1461.996368,2604.644175
762,12.81,1.43,3.34,53.75,0.33,1.74,1950.978327,2627.734535
763,14.92,1.49,3.04,55.51,0.81,1.92,2634.35545,3514.325391
764,16.69,1.55,3.57,38.17,0.65,2.15,2614.977036,3824.391821
765,14.78,1.63,3.61,60.05,0.87,2.21,2216.070736,3183.358322
766,15.81,1.21,3.18,46.15,1.48,2.38,3224.536895,4109.236424
767,12.11,0.79,2.55,62.09,0.56,1.69,1302.772634,2025.798305
768,12.65,1.55,2.77,27.03,1.10,1.74,625.4879,1629.466613
769,13.61,0.90,2.69,55.54,1.53,2.17,2260.512088,3001.087798
770,12.99,1.09,4.61,54.67,0.26,2.60,1940.539108,2654.5412
771,18.77,1.97,3.24,57.19,1.85,2.59,4747.826665,5765.82318
772,12.22,1.02,3.67,56.59,0.43,1.97,1671.119687,2316.428178
773,15.32,1.51,3.95,50.51,0.26,2.11,2873.803986,3762.611861
774,12.31,1.29,2.95,81.97,0.48,2.21,182.5827247,1242.462406
775,12.68,1.76,3.11,78.63,0.48,1.91,310.1048096,1403.490103
776,14.00,1.44,3.18,28.62,0.83,1.76,871.2105678,2055.221043
777,21.67,1.90,2.55,61.78,2.01,2.34,5948.440128,7176.080525
778,12.08,1.11,3.51,49.13,0.62,2.01,1834.182112,2409.758263
779,13.12,1.32,3.64,52.05,0.74,1.97,2141.280021,2824.497105
780,13.67,1.27,3.58,57.42,0.23,2.06,1985.924644,2811.448986
781,14.56,1.40,2.66,40.56,1.30,1.77,2259.287013,3173.914089
782,16.38,1.86,3.01,49.55,1.06,1.99,3578.063124,4472.38662
783,14.36,1.42,2.51,71.95,1.36,2.11,899.2347624,2142.141073
784,15.49,1.21,3.19,38.37,0.97,2.06,2255.936649,3341.388568
785,16.63,1.28,2.90,55.67,1.53,2.28,3508.173332,4467.990964
786,23.31,2.27,2.72,17.93,2.04,2.19,996.6134001,3851.061769
787,13.12,1.00,2.97,59.58,1.03,2.19,1774.155302,2555.259136
788,12.87,1.10,3.30,51.38,0.64,1.94,2050.862756,2712.98037
789,12.87,1.09,3.08,66.30,0.70,1.91,1126.61335,2036.67033
790,15.91,1.32,2.22,50.17,1.85,2.04,3484.565113,4317.833284
791,12.11,1.16,3.69,47.38,0.83,2.30,1846.068147,2423.190751
792,14.28,1.28,3.71,61.42,0.89,2.36,1912.928959,2870.004014
793,11.00,0.78,3.00,55.27,1.34,2.15,1540.18872,1995.808305
794,16.28,1.38,2.52,61.78,0.77,1.57,2481.180222,3650.963289
795,12.53,0.92,2.94,38.53,0.54,1.50,1434.423858,2199.618414
796,13.94,1.07,3.05,31.66,1.33,1.99,1167.493538,2261.648095
797,10.14,1.06,3.63,57.88,0.25,2.00,1174.83094,1571.480581
798,12.02,1.06,3.09,43.69,0.28,1.43,1621.857161,2243.274616
799,7.71,0.67,2.89,51.53,1.55,2.32,1032.497867,1022.466225
800,12.08,1.07,2.80,81.40,1.16,2.31,200.0631795,1212.350789
801,12.38,1.26,3.22,46.17,0.89,1.88,1898.785234,2511.849384
802,14.02,0.95,4.01,72.80,0.89,2.72,749.5051435,1971.016852
803,17.67,1.91,2.63,39.81,1.08,1.88,3404.719728,4581.78963
804,17.52,1.52,3.18,10.94,1.51,1.90,131.786515,2158.692795
805,14.53,1.57,2.69,53.60,0.94,1.67,2623.894296,3436.125608
806,13.49,1.28,2.93,63.71,0.80,1.85,1488.15838,2413.386818
807,11.58,1.11,3.25,53.00,0.69,1.93,1683.695074,2207.741732
808,12.52,1.00,2.43,65.77,0.95,1.98,1129.82052,1973.44624
809,13.25,1.37,3.71,66.20,1.14,2.65,1246.280433,2192.948232
810,15.04,1.48,2.22,61.11,1.08,1.77,2209.802557,3226.5506
811,16.19,1.84,2.29,49.10,1.53,1.86,3592.43766,4448.297256
812,16.82,1.69,2.80,66.65,1.17,1.98,2028.709213,3418.9196
813,17.39,1.60,2.55,56.43,1.87,2.19,3957.762467,4936.070164
814,13.83,1.66,2.51,66.22,0.18,1.64,1273.735181,2320.235312
815,11.34,1.00,3.43,58.03,0.57,2.15,1417.906718,1970.011883
816,19.55,2.13,3.08,35.49,1.34,1.95,3578.753844,5054.275381
817,15.58,1.30,2.53,29.43,1.35,1.88,1221.039098,2601.748274
818,14.73,1.61,3.03,67.42,0.90,1.98,1386.491327,2565.984591
819,12.47,0.93,3.54,48.82,0.90,2.54,1964.548483,2575.5178
820,18.08,1.74,2.38,53.56,1.26,2.09,4481.149974,5444.727993
821,16.32,1.40,2.41,46.78,1.21,1.72,3457.771358,4373.610868
822,12.62,0.87,2.38,15.68,1.00,1.48,137.1866863,1265.827615
823,10.03,0.63,3.29,37.74,0.38,1.70,942.3652433,1380.663083
824,18.66,1.68,1.39,53.35,1.77,1.71,5058.155603,5974.149917
825,7.27,0.70,3.41,54.56,-0.04,1.68,831.6158193,796.0812692
826,15.78,1.61,2.55,52.64,1.37,2.04,3283.096774,4146.942297
827,15.73,1.86,3.74,31.90,1.10,2.15,1547.412398,2867.789677
828,12.38,0.78,4.09,31.40,0.72,2.07,866.8073955,1755.384393
829,12.89,0.88,2.90,51.24,0.81,1.97,2068.876855,2729.010296
830,18.48,1.78,2.85,46.89,1.45,2.45,4850.083875,5788.720288
831,14.74,1.13,2.45,36.86,0.92,1.59,1849.893328,2907.234512
832,12.55,1.17,3.43,56.93,0.79,2.27,1785.970797,2460.349804
833,13.58,0.87,2.95,52.16,1.13,2.20,2319.974657,3039.997949
834,11.76,1.08,4.18,61.21,0.43,2.45,1297.605529,1957.407903
835,11.98,1.30,3.17,27.12,0.54,1.69,547.3130211,1449.084724
836,13.56,1.14,3.59,42.96,0.48,1.93,2009.450069,2809.352176
837,16.55,1.74,2.28,63.39,1.33,1.96,2472.473868,3694.603404
838,15.22,1.30,3.52,42.24,1.14,2.26,2614.571992,3554.515864
839,14.54,1.30,2.04,66.27,0.87,1.64,1457.830305,2583.907557
840,14.37,1.78,2.98,47.62,0.97,1.87,2630.938995,3412.402086
841,15.40,1.36,2.86,46.29,1.01,1.99,2960.352018,3840.599975
842,10.14,1.33,4.26,61.89,-0.19,1.97,958.140151,1413.620217
843,11.09,0.94,3.16,29.62,0.83,1.96,623.7384181,1342.601941
844,18.37,1.78,2.56,44.22,2.07,2.34,4728.563021,5679.878477
845,14.71,1.47,2.39,26.33,0.66,1.15,752.9381575,2099.312813
846,9.29,0.51,2.82,63.86,0.30,1.60,763.3508789,1114.451693
847,11.85,1.24,3.26,24.76,0.08,1.38,400.3003704,1317.1592
848,18.59,1.63,2.91,49.20,1.00,1.90,4848.47219,5806.890469
849,18.18,1.48,3.27,45.48,1.24,2.25,4427.294837,5424.18035
850,18.72,1.75,2.57,44.74,1.59,1.96,4859.778766,5839.000479
851,20.96,2.22,2.45,33.84,1.53,1.84,3962.921984,5593.294614
852,15.31,1.21,2.76,55.20,0.80,1.97,2785.475979,3697.804172
853,11.98,1.01,4.63,60.31,0.76,2.87,1429.695935,2094.27841
854,18.16,1.96,2.12,41.55,1.97,1.97,4196.893018,5251.581867
855,13.61,1.26,2.75,55.04,0.76,1.74,2187.977203,2948.217612
856,13.67,1.14,2.89,28.69,0.62,1.73,817.0853649,1955.144547
857,15.21,1.41,3.11,32.37,0.78,1.81,1440.896413,2694.863935
858,16.10,1.18,2.16,26.77,1.09,1.29,984.8282289,2523.285604
859,13.00,1.54,3.10,64.54,0.20,1.71,1270.79939,2166.195672
860,18.32,1.74,3.10,57.18,1.30,2.48,4258.855882,5326.996914
861,14.96,0.77,2.25,34.65,1.07,1.67,1653.691037,2804.214844
862,18.21,1.74,3.34,51.06,1.12,2.28,4641.893149,5587.084944
863,15.07,1.69,3.04,39.39,1.07,2.17,2287.470387,3289.272876
864,17.75,1.54,2.72,59.32,1.67,2.35,3694.376324,4808.394177
865,15.77,1.95,4.10,44.54,0.04,1.97,2856.58501,3832.696685
866,14.19,1.19,2.69,28.70,1.22,1.83,921.3967692,2127.658255
867,13.80,1.19,3.15,46.08,1.28,2.07,2383.252298,3126.082803
868,14.84,1.38,3.43,48.80,1.04,2.11,2820.948029,3636.582165
869,12.54,1.25,3.59,58.03,0.47,2.03,1681.595435,2381.842084
870,10.13,0.87,3.49,63.79,0.16,1.93,865.274178,1343.686958
871,14.17,1.37,2.92,59.30,0.91,1.91,2089.396476,2978.227381
872,14.85,1.61,3.63,44.93,0.72,2.05,2629.226816,3498.365363
873,16.62,1.53,2.31,31.41,1.10,1.54,1672.500696,3122.566283
874,17.85,1.76,2.96,59.16,0.48,1.74,3488.654583,4677.224979
875,18.73,2.01,2.88,53.39,1.42,2.14,5029.047552,5965.980506
876,17.20,1.85,2.26,48.84,1.47,1.90,4131.95598,5028.930637
877,10.49,0.48,3.77,52.31,0.46,2.37,1403.229919,1802.174742
878,13.53,1.51,2.31,67.51,0.80,1.67,1148.659784,2172.712293
879,18.04,1.36,2.47,57.53,1.15,2.01,3953.126607,5050.979704
880,14.97,1.01,2.87,54.85,1.17,2.20,2728.432245,3592.257683
881,16.18,1.39,3.04,41.40,1.22,2.01,2934.090489,3965.424366
882,15.07,1.22,3.39,56.70,0.38,1.88,2504.126182,3446.462203
883,13.69,1.35,3.51,69.53,0.60,2.04,972.9957386,2074.269992
884,10.15,0.54,2.97,40.51,0.59,1.76,1114.45748,1528.995608
885,13.45,0.92,3.25,58.30,1.04,2.33,1954.785696,2748.098914
886,15.94,1.34,3.81,37.13,1.36,2.43,2317.315601,3469.266462
887,14.88,1.57,3.30,63.31,0.95,2.03,1896.132878,2966.564711
888,11.12,0.63,3.09,58.97,0.52,1.85,1304.752863,1845.440014
889,13.50,0.98,3.94,36.68,1.17,2.60,1552.865491,2462.616011
890,13.72,1.39,3.41,40.24,0.84,2.18,1911.658757,2765.402156
891,7.38,0.63,2.54,42.24,0.38,1.28,793.9068762,788.617779
892,20.21,2.12,2.50,23.78,1.47,1.82,1334.070277,3531.791298
893,10.69,0.98,3.49,84.33,0.39,1.97,99.83486495,885.8885137
894,15.75,1.28,2.82,70.68,0.95,2.04,1200.970398,2616.969235
895,17.96,1.45,2.87,49.41,0.92,2.01,4388.297229,5355.257212
896,16.95,1.42,2.30,61.43,1.47,2.05,2931.474727,4104.419065
897,19.73,2.06,2.63,49.91,1.59,2.11,6031.878091,6881.971021
898,11.91,1.50,2.27,47.38,0.84,1.57,1814.325935,2364.542903
899,15.53,1.69,2.64,64.49,1.55,2.10,2021.05513,3176.826776
900,14.44,1.07,2.34,68.76,0.98,1.97,1179.69975,2361.856825
901,13.37,1.54,3.04,52.23,0.86,1.72,2247.460706,2947.534905
902,10.50,1.17,3.69,61.09,0.45,2.17,1095.672507,1580.097971
903,18.90,1.52,2.65,18.63,1.06,1.54,536.3979869,2707.893272
904,17.89,1.44,1.86,34.13,1.75,1.62,2593.317461,4028.532177
905,15.32,1.31,3.29,55.99,1.35,2.42,2849.555535,3745.827788
906,13.48,0.96,2.93,55.30,0.50,1.70,2079.097093,2845.570188
907,17.17,1.34,2.35,38.08,1.43,1.97,2930.73659,4143.731482
908,20.86,1.84,2.53,40.57,2.08,2.43,5953.509396,7031.206747
909,15.19,1.62,3.11,57.97,1.15,2.16,2609.063195,3545.24288
910,14.95,1.19,2.69,75.73,0.58,1.80,608.5049452,2037.093911
911,12.10,1.63,3.97,63.24,0.38,1.93,1231.648572,1972.911835
912,18.24,1.46,2.85,44.53,1.39,2.06,4412.783711,5424.388755
913,19.86,1.92,2.77,45.44,1.33,2.08,5730.401418,6685.428318
914,19.54,1.78,3.23,37.40,0.82,1.80,3838.755438,5242.618273
915,18.37,1.60,2.45,42.26,1.40,2.06,4222.117262,5309.037562
916,12.89,1.45,4.09,66.21,0.81,2.77,1158.146044,2062.386607
917,15.20,1.25,3.20,42.63,1.52,2.23,2713.041014,3623.336642
918,12.23,0.87,3.02,40.67,1.02,1.84,1571.246492,2243.89142
919,17.88,1.72,3.20,49.61,1.23,2.37,4471.658237,5402.016818
920,15.79,1.44,3.01,63.24,0.48,2.07,2089.208282,3274.652106
921,12.38,0.91,2.63,33.48,1.17,1.73,1062.835861,1899.956439
922,18.98,2.28,2.69,46.40,1.11,1.67,5114.831505,6073.458997
923,13.76,1.35,3.46,52.36,0.50,1.89,2302.666403,3060.192169
924,23.55,2.11,1.28,14.24,2.18,1.24,585.5575108,3595.281124
925,14.86,1.36,2.64,60.50,1.33,1.95,2250.595712,3222.759873
926,16.43,1.79,2.62,35.50,1.13,1.72,2237.994441,3501.940544
927,15.86,1.08,2.74,51.49,1.62,2.15,3365.008352,4221.20049
928,12.98,1.66,3.25,60.51,0.93,1.98,1686.087807,2466.07233
929,17.21,1.53,2.79,20.12,1.52,1.93,536.3312909,2398.584094
930,15.34,1.12,2.11,50.65,1.17,1.71,3042.027066,3890.146923
931,17.57,1.49,2.30,44.57,1.46,1.98,4038.091299,5027.492686
932,10.74,0.54,3.33,62.94,0.31,1.89,995.2862778,1549.588719
933,18.79,1.50,3.57,35.74,0.93,2.30,3113.096098,4573.994008
934,12.83,0.99,3.67,17.20,0.61,2.01,174.1636823,1331.41267
935,15.35,1.54,3.07,26.63,1.53,2.05,908.441964,2329.67837
936,14.88,1.64,3.47,51.29,0.38,1.77,2725.627772,3574.763592
937,14.69,1.29,2.39,62.93,1.04,1.93,1883.85096,2922.944077
938,7.77,0.39,2.80,40.24,0.37,1.43,768.4888126,840.7365529
939,15.87,1.92,3.20,32.82,0.58,1.64,1642.147875,2963.016931
940,18.75,1.64,1.45,58.05,1.37,1.55,4400.552244,5509.485086
941,15.63,1.54,2.85,40.83,0.84,1.70,2587.320835,3609.630192
942,18.06,2.08,2.60,56.29,1.64,2.18,4361.597078,5354.093873
943,12.05,0.86,3.21,42.36,0.50,1.77,1576.647972,2215.664074
944,14.44,1.51,2.81,65.32,1.16,1.93,1583.322847,2658.364362
945,16.69,1.62,3.44,36.22,1.48,2.52,2482.954015,3728.731491
946,15.80,1.00,3.29,42.13,0.43,1.97,2668.11441,3700.587971
947,16.84,1.63,3.16,60.43,1.60,2.60,3079.128701,4192.325167
948,13.46,1.52,3.04,56.59,0.10,1.53,1975.398611,2765.79439
949,14.63,1.96,3.02,21.47,1.26,1.79,441.3944238,1856.232142
950,12.20,1.07,3.36,28.87,0.82,1.69,681.7715215,1587.171079
951,10.50,0.94,3.11,54.54,0.45,1.82,1375.952266,1785.586899
952,18.68,1.82,2.50,43.35,1.66,1.87,4688.543288,5707.352361
953,16.88,1.89,2.45,65.82,0.63,1.50,2107.131598,3487.54668
954,15.42,1.40,2.80,18.98,1.50,1.93,352.6590755,1936.565666
955,13.01,1.28,2.38,50.41,0.48,1.55,2088.65047,2766.792384
956,17.92,1.68,2.30,57.84,1.33,1.92,3931.429401,5013.235054
957,15.97,1.16,2.63,52.55,1.41,2.09,3341.46207,4224.349487
958,13.32,1.16,2.45,57.86,1.05,1.74,1966.128608,2732.942943
959,18.10,2.26,3.34,56.09,1.02,2.15,4238.076628,5270.088292
960,16.21,1.39,2.77,59.83,1.21,2.32,2794.051735,3867.55176
961,18.00,1.72,1.71,28.46,1.74,1.49,1633.18461,3345.508857
962,17.86,1.94,2.50,26.22,0.28,0.93,1152.333122,2968.998904
963,11.60,0.55,2.18,53.54,0.60,1.50,1638.342799,2178.704534
964,17.98,1.45,2.94,25.17,0.90,1.86,1074.790902,2934.013391
965,16.61,1.25,1.83,60.13,1.54,1.86,2974.180021,4072.559908
966,19.06,2.25,3.20,55.53,1.57,2.39,5132.133582,6100.529319
967,12.83,1.27,3.15,29.87,1.09,2.09,841.7096278,1820.512171
968,18.96,1.76,2.17,29.28,1.58,1.95,2009.483936,3797.618039
969,11.71,0.63,4.01,44.03,0.04,1.84,1520.192211,2112.52908
970,11.91,1.69,3.83,28.94,0.38,1.78,650.1988476,1512.093071
971,17.44,1.74,3.44,57.33,1.33,2.38,3742.09038,4786.408652
972,10.95,0.80,3.67,47.06,0.12,1.93,1466.627778,1933.696874
973,12.94,0.97,2.88,38.29,1.25,1.94,1581.271103,2381.628388
974,15.72,1.33,2.51,35.09,1.42,1.95,1982.058606,3184.273987
975,14.02,1.50,3.01,62.59,1.04,2.16,1757.675482,2708.108099
976,14.49,1.58,3.00,22.54,1.08,1.99,484.5175293,1862.494466
977,11.80,1.07,3.64,35.35,0.35,1.76,1059.672113,1791.702032
978,19.29,1.61,2.82,58.56,1.23,1.97,4609.512101,5760.404181
979,7.22,0.35,3.60,63.09,-0.03,1.67,579.6243701,602.4736624
980,15.70,1.10,3.41,46.86,0.14,1.93,2907.919597,3857.10884
981,14.48,1.34,3.56,47.44,0.67,2.11,2576.102155,3391.605108
982,9.88,1.00,3.64,55.19,0.52,2.16,1248.129938,1577.609519
983,18.80,1.80,3.23,74.07,1.66,2.54,1401.211709,3321.589769
984,18.07,1.33,2.89,28.67,1.52,2.10,1640.769905,3364.679104
985,15.68,1.68,3.77,57.85,0.72,2.35,2733.704192,3727.178232
986,15.28,1.25,2.29,34.78,1.28,1.61,1798.975721,2969.862815
987,10.88,1.20,4.09,55.09,0.81,2.40,1482.876885,1932.542954
988,16.14,1.62,3.16,38.03,0.97,2.05,2460.098447,3610.908202
989,16.12,1.41,2.42,35.84,1.48,1.84,2219.56275,3430.506277
990,13.52,1.35,3.45,31.57,1.51,2.22,1113.605137,2145.087309
991,6.55,0.12,4.13,56.69,0.28,2.10,714.453061,577.8070203
992,20.37,1.90,2.37,37.76,1.40,1.99,4612.097972,5959.956767
993,12.92,1.36,3.68,71.40,0.11,1.91,705.6635532,1736.560688
994,17.13,1.79,2.88,51.45,1.77,2.28,4165.407602,5040.742478
995,11.95,1.14,2.97,67.18,0.80,2.06,931.610877,1725.678908
996,17.99,2.29,3.38,44.32,0.98,2.08,4211.527806,5230.433447
997,12.12,0.82,3.52,57.07,-0.04,1.73,1560.333735,2216.536779
998,15.55,1.50,2.48,58.25,1.89,2.35,2858.180459,3793.873108
999,20.89,2.02,3.23,46.17,1.71,2.27,6934.576348,7754.889551
1000,15.74,1.31,2.37,73.08,1.24,2.06,963.6757931,2441.880802

